State,naep_2017_reading,naep_2017_reading_rank,naep_2017_math,naep_2017_math_rank
Alabama,258,46.0,268,49.0
Alaska,258,46.0,277,38.0
Arizona,263,34.0,282,24.0
Arkansas,260,41.0,274,45.0
California,263,34.0,277,38.0
Colorado,270,8.0,286,15.0
Connecticut,273,4.0,284,21.0
Delaware,263,34.0,278,36.0
DC,247,51.0,266,51.0
Florida,267,20.0,279,34.0
Georgia,266,26.0,281,30.0
Hawaii,261,39.0,277,38.0
Idaho,270,8.0,284,21.0
Illinois,267,20.0,282,24.0
Indiana,272,6.0,288,8.0
Iowa,268,17.0,286,15.0
Kansas,267,20.0,285,20.0
Kentucky,265,30.0,278,36.0
Louisiana,257,48.0,267,50.0
Maine,269,11.0,284,21.0
Maryland,267,20.0,281,30.0
Massachusetts,278,1.0,297,1.0
Michigan,265,30.0,280,33.0
Minnesota,269,11.0,294,2.0
Mississippi,256,49.0,271,47.0
Missouri,266,26.0,281,30.0
Montana,267,20.0,286,15.0
Nebraska,269,11.0,288,8.0
Nevada,260,41.0,275,42.0
New Hampshire,275,2.0,293,3.0
New Jersey,275,2.0,292,4.0
New Mexico,256,49.0,269,48.0
New York,264,33.0,282,24.0
North Carolina,263,34.0,282,24.0
North Dakota,265,30.0,288,8.0
Ohio,268,17.0,288,8.0
Oklahoma,261,39.0,275,42.0
Oregon,266,26.0,282,24.0
Pennsylvania,270,8.0,286,15.0
Rhode Island,266,26.0,277,38.0
South Carolina,260,41.0,275,42.0
South Dakota,267,20.0,286,15.0
Tennessee,262,38.0,279,34.0
Texas,260,41.0,282,24.0
Utah,269,11.0,287,14.0
Vermont,273,4.0,288,8.0
Virginia,268,17.0,290,5.0
Washington,272,6.0,289,6.0
West Virginia,259,45.0,273,46.0
Wisconsin,269,11.0,288,8.0
Wyoming,269,11.0,289,6.0
